Un administrateur a défini un compte d’utilisateur local avec un mot de passe secret sur le routeur R1 pour être utiliser avec SSH. Quelles sont les trois étapes supplémentaires nécessaires pour configurer R1 pour accepter uniquement les connexions SSH chiffrées ? (Choisissez trois réponses.);1;6;3;Activez les sessions SSH entrantes à l’aide des commandes de ligne VTY.;Configurer le nom de domaine IP.;Générez des clés pré-partagées bidirectionnelles.;Configurez DNS sur le routeur.;Activez les sessions Telnet entrantes à l’aide des commandes de ligne VTY.;Générer les clés SSH.;1;2;6;;;;;;;;;;
Que sont les protocoles propriétaires ?;1;4;1;Des protocoles qui peuvent être librement utilisés par toute entreprise ou tout fournisseur;Un ensemble de protocoles connus sous le nom de suite de protocoles TCP/IP;Des protocoles développés par des entreprises qui contrôlent leur définition et leur fonctionnement;Des protocoles développés par des organismes privés pour fonctionner avec du matériel provenant de tout fournisseur;3;;;;;;;;;;;;;;
Un administrateur réseau ajoute un nouveau réseau local à une filiale. Le nouveau réseau local doit prendre en charge 4 périphériques connectés. Quel est le plus petit masque réseau que l’administrateur réseau peut utiliser pour le nouveau réseau?;1;4;1;255.255.255.224;255.255.255.248;255.255.255.128;255.255.255.192;2;;;;;;;;;;;;;;
À quoi sert le glissement de fenêtre TCP ?;1;4;1;À mettre fin à une communication une fois la transmission des données complète;À demander à une source de réduire la vitesse à laquelle elle transmet les données;À informer une source qu’elle doit retransmettre les données à partir d’un point particulier;À s’assurer que les segments parviennent à la destination dans l’ordre;2;;;;;;;;;;;;;;
Des données sont envoyées depuis un ordinateur source vers un serveur de destination. Quelles sont les trois affirmations qui décrivent la fonction TCP ou UDP dans cette situation ? (Choisissez trois réponses.);1;6;3;Le champ Port source identifie l’application ou le service actif qui traitera les données renvoyées à l’ordinateur.;Le processus TCP exécuté sur l’ordinateur sélectionne le port de destination de façon aléatoire lors de l’établissement d’une session via le serveur.;Des segments UDP sont encapsulés dans des paquets IP pour le transport via le réseau.;Le numéro de port source TCP identifie l’hôte émetteur sur le réseau.;Le numéro de port de destination UDP identifie l’application ou le service du serveur destiné au traitement des données.;TCP est le protocole le plus adapté lorsqu’une fonction requiert une surcharge réseau plus faible.;1;3;5;;;;;;;;;;
Un serveur reçoit un paquet client. Le numéro de port de destination du paquet est 69. Quelle application de service le client demande-t-il?;1;4;1;DNS;SMTP;TFTP;DHCP;3;;;;;;;;;;;;;;
Quelle caractéristique décrit un cheval de Troie?;1;4;1;logiciel ou code malveillant s’exécutant sur un périphérique final;l’utilisation d’informations d’identification volées pour accéder à des données privées;une attaque qui ralentit ou bloque un périphérique ou un service réseau;un périphérique réseau qui filtre l’accès et le trafic entrant dans un réseau;1;;;;;;;;;;;;;;
Quels sont les deux problèmes qui peuvent être causés par un grand nombre de requêtes ARP et de messages de réponse? (Choisissez deux réponses.);1;5;2;Les commutateurs sont surchargés car ils concentrent tout le trafic des sous-réseaux connectés.;Tous les messages de requête ARP doivent être traités par tous les nœuds du réseau local.;Le réseau peut être saturé car les messages de réponse ARP ont une charge utile très importante grâce à l’adresse MAC de 48 bits et à l’adresse IP de 32 bits qu’ils contiennent.;La requête ARP est envoyée en tant que diffusion et inondera l’ensemble du sous-réseau.;Un grand nombre de messages de requête et de réponse ARP peuvent ralentir le processus de commutation, ce qui conduit le commutateur à apporter de nombreuses modifications dans sa table MAC.;2;4;;;;;;;;;;;;
Quelle commande peut être utilisée sur un PC Windows pour afficher la configuration IP de cet ordinateur ?;1;4;1;ipconfig;ping;show ip interface brief;show interfaces;1;;;;;;;;;;;;;;
Comment la commande service password-encryption améliore-t-elle la sécurité des mots de passe sur des routeurs et des commutateurs Cisco ?;1;4;1;Elle demande à l’utilisateur d’entrer des mots de passe chiffrés pour obtenir un accès à la console sur un routeur ou un commutateur.;Elle nécessite que des mots de passe soient utilisés lors d’une connexion distante à un routeur ou à un commutateur avec Telnet.;Elle chiffre les mots de passe qui sont stockés dans des fichiers de configuration de routeur et de commutateur.;Elle chiffre les mots de passe lorsqu’ils sont transmis sur le réseau.;3;;;;;;;;;;;;;;
Quel mécanisme est utilisé par un routeur pour empêcher un paquet IPv4 reçu de voyager sans fin sur un réseau ?;1;4;1;Il décrémente la valeur du champ TTL de 1 et si le résultat est 0, il rejette le paquet et envoie un message “Time Exceeded” à l’hôte source.;Il vérifie la valeur du champ TTL et si elle est égale à 0, il rejette le paquet et envoie un message “Destination Unreachable” à l’hôte source.;Il incrémente la valeur du champ TTL de 1 et si le résultat est 100, il rejette le paquet et envoie un message “Parameter Problem” à l’hôte source.;Il vérifie la valeur du champ TTL et si elle est égale à 100, il rejette le paquet et envoie un message “Destination Unreachable” à l’hôte source.;1;;;;;;;;;;;;;;
Quel service est fourni par HTTPS?;1;4;1;Utilise le cryptage pour sécuriser l’échange de texte, d’images graphiques, de sons et de vidéos sur le Web.;Traduit des noms de domaines (par exemple, cisco.com) en adresses IP;Permet l’accès à distance aux périphériques et serveurs réseau.;Utilise le chiffrement pour fournir un accès distant sécurisé aux périphériques et serveurs réseau.;1;;;;;;;;;;;;;;
Quelles sont les deux déclarations qui décrivent les caractéristiques d’une table de routage IPv4 sur un routeur ? (Choisissez deux réponses.);1;6;2;La table de routage répertorie les adresses MAC de chaque interface active.;Il stocke des informations sur les chemins dérivés des interfaces de routeur actives.;Si une route statique par défaut est configurée sur le routeur, une entrée sera incluse dans la table de routage avec le code source S .;S’il existe deux ou plusieurs chemins possibles vers la même destination, le chemin associé à la valeur métrique la plus élevée est inclus dans le tableau d’acheminement.;Les interfaces connectées directement ont deux codes d’origine dans la table de routage: C et S .;La commande netstat -r permettent d’afficher la table de routage de l’hôte.​;3;5;;;;;;;;;;;
Quelle valeur, qui se trouve dans un champ d’en-tête IPv4, est diminuée par chaque routeur qui reçoit un paquet ?;1;4;1;Décalage du fragment;Time To Live (durée de vie);Longueur d’en-tête;Services différenciés;2;;;;;;;;;;;;;;
La commande de configuration globale ip default-gateway 172.16.100.1 est appliquée sur un commutateur. Quel est l’effet de cette commande?;1;4;1;Le commutateur est limité à l’envoi et à la réception de trames vers et depuis la passerelle 172.16.100.1.;Le commutateur aura une interface de gestion avec l’adresse 172.16.100.1.;Le commutateur peut communiquer avec d’autres hôtes du réseau 172.16.100.0.;Le commutateur peut être géré à distance à partir d’un hôte sur un autre réseau.;4;;;;;;;;;;;;;;
Un nouvel administrateur de réseau a été invité à saisir un message de bannière sur un appareil Cisco. Quel est le moyen le plus rapide pour un administrateur de réseau de vérifier si la bannière est correctement configurée ?;1;5;1;Quittez le mode d’exécution privilégié et appuyez sur Enter .;Quittez le mode de configuration globale.;Éteignez le téléphone puis rallumez-le.;Redémarrez l’appareil.;Saisissez CTRL-Z à l’invite de mode privilégié.;1;;;;;;;;;;;;;
Quelle méthode est utilisée pour gérer l’accès avec gestion des conflits sur un réseau sans fil ?;1;4;1;Classement des priorités;CSMA/CD;Passage de jeton;CSMA/CA;4;;;;;;;;;;;;;;
Parmi les caractéristiques suivantes, lesquelles sont des caractéristiques du processus CSMA/CD ? (Choisissez trois réponses.);1;6;3;Un signal d’encombrement indique que la collision de paquets a été résolue et que le support n’est plus occupé.;Tous les périphériques d’un segment ont accès aux données transitant par le support réseau.;Les périphériques peuvent se voir attribuer une priorité de transmission supérieure.;Suite à la détection d’une collision, les hôtes peuvent tenter de reprendre leur transmission après un délai aléatoire.;Le périphérique doté d’un jeton électronique est le seul autorisé à transmettre des données après une collision.;Un périphérique est à l’écoute du support et attend qu’il ne soit plus occupé pour pouvoir transmettre ses données.;2;4;6;;;;;;;;;;
Quel champ de trame est créé par un nœud source et utilisé par un nœud de destination pour s’assurer qu’un signal de données transmis n’a pas été modifié par interférence, distorsion ou perte de signal?;1;5;1;Champ Séquence de contrôle de trame;champ de processus de correction d’erreur;Protocole UDP (User Datagram Protocol);Champ de contrôle de flux;champ de vérification des erreurs de couche de transport;1;;;;;;;;;;;;;
